Fecha_hecho,Departamento,Codigo_municipio,Municipio,Cantidad,Tipo_evento,Armas_medios,Genero,Grupo_etario,Zona,Edad,Usuario_via,Actor_vial
2025-11-19,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-19,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-18,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-18,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-15,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-15,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-14,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-14,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-14,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-11,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-09,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-08,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-07,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-06,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-02,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-01,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-31,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-30,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-30,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-28,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-27,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-25,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-25,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
