FECHA HECHO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,TIPO_EVENTO,AÑO,TIPO,ARMAS MEDIOS,GENERO,GRUPO ETARÍO,Zona,Edad,UsuarioVia,ActorVial
2026-01-11,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-10,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-10,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-10,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-09,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-07,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-06,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-03,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-03,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2026,,,,,,,,
2026-01-01,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2026,,,,,,,,
2025-12-28,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-26,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-24,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-23,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-22,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-22,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-21,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-21,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-20,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-20,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-12-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
